name;main_category;sub_category;image;link;ratings;no_of_ratings;discount_price;actual_price
Nike Men's Hooland Suede Haystack/Sail/Gum/Light/Brown Hiking Shoe 12 Men US;stores;Sportswear;https://m.media-amazon.com/images/I/81QdnYkSxkL._AC_UL320_.jpg;https://www.amazon.in/Hoodland-654888-727-shoes-Hystck-Mtllc/dp/B00H2WCOJE/ref=sr_1_6940?qid=1679149567&s=apparel&sr=1-6940;4.6;18;;₹13,493.25
Nike Men's Hooland Suede Haystack/Sail/Gum/Light/Brown Hiking Shoe 10.5 Men US;stores;Sportswear;https://m.media-amazon.com/images/I/81QdnYkSxkL._AC_UL320_.jpg;https://www.amazon.in/NIKE-Hooland-Suede-Haystack-Hiking/dp/B00H2WCLWO/ref=sr_1_6942?qid=1679149567&s=apparel&sr=1-6942;4.8;20;;₹12,870.51
FURO Mens H20006-a F007 Hiking Shoes;men's shoes;Sports Shoes;https://m.media-amazon.com/images/I/81qeyk5uiIL._AC_UL320_.jpg;https://www.amazon.in/FURO-Redchief-Hiking-H20006-F007/dp/B0B5RVNVFN/ref=sr_1_2394?qid=1679147270&s=shoes&sr=1-2394;;;₹1,39;₹2,24
Under Armour Men's Verge Low Hiking Boots;stores;Sportswear;https://m.media-amazon.com/images/I/81qHx3-5LbL._AC_UL320_.jpg;https://www.amazon.in/Under-Armour-Verge-Hiking-Stealth/dp/B01GPDT0QK/ref=sr_1_2053?qid=1679149392&s=apparel&sr=1-2053;4.5;64;;₹20,697.93
Columbia Men's Newton Ridge Plus Ii Waterproof Hiking Shoe;men's shoes;Sports Shoes;https://m.media-amazon.com/images/I/81qtUOmhNgL._AC_UL320_.jpg;https://www.amazon.in/Columbia-Black-Hiking-Boots-9-BM3970/dp/B00KWK8TT2/ref=sr_1_13261?qid=1679147663&s=shoes&sr=1-13261;4.6;33,774;;₹14,61
Columbia Men's Newton Ridge Plus Ii Waterproof Hiking Shoe;stores;Sportswear;https://m.media-amazon.com/images/I/81qtUOmhNgL._AC_UL320_.jpg;https://www.amazon.in/Columbia-Black-Hiking-Boots-9-BM3970/dp/B00KWK8TT2/ref=sr_1_2907?qid=1679149421&s=apparel&sr=1-2907;4.6;33,774;;₹14,61
Centrino Mens 8840 Hiking Shoes;stores;Sportswear;https://m.media-amazon.com/images/I/81qvfSSqrlL._AC_UL320_.jpg;https://www.amazon.in/Centrino-Chicku-Hiking-Shoes-7-8840-01/dp/B07PWHDFNZ/ref=sr_1_2376?qid=1679149403&s=apparel&sr=1-2376;3.5;23;₹839,00;₹2,20
LANCER Mens Sports & Outdoor Running Shoes Hiking Shoe;men's shoes;Sports Shoes;https://m.media-amazon.com/images/I/81QXIkXmYFL._AC_UL320_.jpg;https://www.amazon.in/Lancer-Sports-Shoes-Grey-Indus-263/dp/B09DCVM3SL/ref=sr_1_7352?qid=1679147448&s=shoes&sr=1-7352;1.0;1;₹602.14;₹1,20
Merrell Men's Yokota 2 Hiking Shoe;stores;Sportswear;https://m.media-amazon.com/images/I/81rf7tMqORL._AC_UL320_.jpg;https://www.amazon.in/Merrell-Yokota-Hiking-Sneakers-Boulder/dp/B07MKWW794/ref=sr_1_4321?qid=1679149470&s=apparel&sr=1-4321;4.4;3,013;;₹10,345.37
Merrell Women's Cham 7 Limit Wp Low Rise Hiking Boots Green (Dusty Olive Dusty Olive) 3.5 (36 EU);stores;Sportswear;https://m.media-amazon.com/images/I/81RIX1uCyvL._AC_UL320_.jpg;https://www.amazon.in/Merrell-Chameleon-Waterproof-Hiking-Beluga/dp/B072M1X29Q/ref=sr_1_5713?qid=1679149521&s=apparel&sr=1-5713;4.3;189;;₹23,705.43
Saucony Men's Peregrine 13 Hiking Shoe;men's shoes;Sports Shoes;https://m.media-amazon.com/images/I/81SDxTDQ0NL._AC_UL320_.jpg;https://www.amazon.in/Saucony-Mens-Peregrine-Hiking-Shoe/dp/B09XZ6G8MG/ref=sr_1_17628?qid=1679147820&s=shoes&sr=1-17628;;;;₹23,217.68
